date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,GS20,GS10,GS30,GDI,AAA,LTGOVTBD,THREEFYTP10
1959-03-31,510.33,114714.0,15.224,,63940.0,6.366,15.515,2.58,309.5,79.29,4.87,3.97,3.99,,510.145,4.13,3.91,
1959-06-30,522.653,115139.0,15.248,,64772.0,6.42,15.598,3.08,315.5,82.093,4.95,4.11,4.26,,524.882,4.35,4.06,
1959-09-30,525.034,115551.0,15.307,,64875.0,6.457,15.702,3.57,320.7,83.222,5.12,4.2,4.5,,522.572,4.47,4.16,
1959-12-31,528.6,115918.0,15.367,,64927.0,6.519,15.792,3.99,322.9,82.404,5.27,4.24,4.58,,528.21,4.57,4.17,
1960-03-31,542.648,116708.0,15.428,,65213.0,6.658,15.842,3.93,326.4,85.276,5.31,4.28,4.49,,542.125,4.55,4.22,
1960-06-30,541.08,117037.0,15.467,,66061.0,6.702,15.902,3.7,332.2,83.872,5.25,4.16,4.26,,543.396,4.45,4.11,
1960-09-30,545.604,117411.0,15.52,,66024.0,6.741,15.965,2.94,332.1,82.057,5.1,3.87,3.83,,545.291,4.31,3.82,
1960-12-31,540.197,117824.0,15.566,,65840.0,6.769,16.017,2.3,334.0,81.775,5.1,3.93,3.89,,543.938,4.32,3.91,
1961-03-31,545.018,118254.0,15.6,,65738.0,6.829,16.044,1.99,334.5,80.926,5.06,3.85,3.79,,546.222,4.27,3.83,
1961-06-30,555.545,118636.0,15.636,,65605.0,6.925,16.097,1.73,339.5,82.316,5.02,3.81,3.79,,556.721,4.28,3.8,
1961-09-30,567.664,119001.0,15.676,,65667.0,6.977,16.167,1.68,342.4,84.261,5.11,4.0,3.98,,567.148,4.44,3.97,
1961-12-31,580.612,119190.0,15.725,,65967.0,7.028,16.206,2.4,349.6,86.935,5.11,4.03,3.97,,582.407,4.41,4.01,
1962-03-31,594.013,119379.0,15.806,,66380.0,7.14,16.266,2.46,354.9,88.666,5.06,4.09,4.02,,592.505,4.41,4.06,
